Screen,LLM,Strategy,Language,Prompt,Editable Item Label,Hidden Text,Text Contrast,Item Description,Touch Target,Item Label,Item Type Label,Context,Image Contrast,Clickable Item,Total
Login,Chat-GPT 4.o mini,Zero-Shot,Portuguese,1,2,1,1,0,0,0,0,0,0,0,4
Login,Chat-GPT 4.o mini,Zero-Shot,Portuguese,2,2,0,1,1,2,0,0,0,0,0,6
Login,Chat-GPT 4.o mini,Zero-Shot,Portuguese,3,2,3,3,0,1,0,0,0,0,0,9
Login,Chat-GPT 4.o mini,Zero-Shot,English,1,2,1,1,1,0,0,0,0,0,0,5
Login,Chat-GPT 4.o mini,Zero-Shot,English,2,2,4,1,0,0,0,0,0,0,0,7
Login,Chat-GPT 4.o mini,Zero-Shot,English,3,2,2,1,1,1,0,0,0,0,0,7
Login,Chat-GPT 4.o mini,Few-Shot,Portuguese,1,0,0,2,0,0,0,0,0,0,0,2
Login,Chat-GPT 4.o mini,Few-Shot,Portuguese,2,0,0,0,0,0,2,0,0,0,0,2
Login,Chat-GPT 4.o mini,Few-Shot,Portuguese,3,0,0,2,0,0,0,0,0,0,0,2
Login,Chat-GPT 4.o mini,Few-Shot,English,1,0,0,1,0,0,0,0,0,0,0,1
Login,Chat-GPT 4.o mini,Few-Shot,English,2,0,0,2,0,0,0,0,0,0,0,2
Login,Chat-GPT 4.o mini,Few-Shot,English,3,0,0,2,0,2,0,0,0,0,0,4
Product,Chat-GPT 4.o mini,Zero-Shot,Portuguese,1,0,0,3,0,0,0,0,0,0,0,3
Product,Chat-GPT 4.o mini,Zero-Shot,Portuguese,2,0,0,2,0,0,0,2,0,0,0,4
Product,Chat-GPT 4.o mini,Zero-Shot,Portuguese,3,0,0,0,0,0,0,0,0,0,0,0
Product,Chat-GPT 4.o mini,Zero-Shot,English,1,0,0,2,0,2,0,0,0,0,0,4
Product,Chat-GPT 4.o mini,Zero-Shot,English,2,0,0,0,0,0,0,0,0,0,0,0
Product,Chat-GPT 4.o mini,Zero-Shot,English,3,0,0,1,0,0,0,0,0,0,0,1
Product,Chat-GPT 4.o mini,Few-Shot,Portuguese,1,0,0,2,0,0,0,0,0,0,0,2
Product,Chat-GPT 4.o mini,Few-Shot,Portuguese,2,0,2,2,0,0,0,0,0,0,0,4
Product,Chat-GPT 4.o mini,Few-Shot,Portuguese,3,0,0,2,0,0,0,0,0,0,0,2
Product,Chat-GPT 4.o mini,Few-Shot,English,1,0,2,2,0,0,0,0,0,0,0,4
Product,Chat-GPT 4.o mini,Few-Shot,English,2,0,3,2,0,0,0,0,0,0,0,5
Product,Chat-GPT 4.o mini,Few-Shot,English,3,0,2,2,0,0,0,0,0,0,0,4
Profile,Chat-GPT 4.o mini,Zero-Shot,Portuguese,1,4,4,0,0,4,0,0,0,0,0,12
Profile,Chat-GPT 4.o mini,Zero-Shot,Portuguese,2,4,4,4,0,4,0,2,0,0,0,18
Profile,Chat-GPT 4.o mini,Zero-Shot,Portuguese,3,4,4,1,0,1,0,0,0,0,0,10
Profile,Chat-GPT 4.o mini,Zero-Shot,English,1,4,4,0,0,0,0,0,0,0,0,8
Profile,Chat-GPT 4.o mini,Zero-Shot,English,2,4,4,0,0,0,0,0,0,0,0,8
Profile,Chat-GPT 4.o mini,Zero-Shot,English,3,4,4,1,0,1,0,0,0,0,0,10
Profile,Chat-GPT 4.o mini,Few-Shot,Portuguese,1,0,0,2,0,0,0,0,0,0,0,2
Profile,Chat-GPT 4.o mini,Few-Shot,Portuguese,2,4,4,2,0,0,0,0,0,0,0,10
Profile,Chat-GPT 4.o mini,Few-Shot,Portuguese,3,4,4,2,0,0,0,0,0,0,0,10
Profile,Chat-GPT 4.o mini,Few-Shot,English,1,4,4,2,0,4,0,0,0,0,0,14
Profile,Chat-GPT 4.o mini,Few-Shot,English,2,0,0,2,0,0,0,0,0,0,0,2
